time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
0.519410,4,314.249,28.361,2358.290,23.317,3200.713,247.497,3718.139,284.435,--undefined--,--undefined--
0.525660,4,315.295,27.952,2356.476,33.986,3025.558,325.001,3701.158,107.804,--undefined--,--undefined--
0.531910,4,313.703,26.484,2353.294,30.534,3016.918,450.627,3677.158,141.731,--undefined--,--undefined--
0.538160,4,313.933,26.364,2360.289,22.606,3088.201,727.319,3577.526,191.518,--undefined--,--undefined--
0.544410,4,316.738,32.292,2354.904,12.913,3089.415,501.511,3600.342,186.439,--undefined--,--undefined--
0.550660,4,316.146,32.518,2332.277,15.135,3092.723,341.050,3627.525,201.779,--undefined--,--undefined--
0.556910,4,315.016,36.365,2342.958,32.124,3048.024,223.051,3585.043,124.567,--undefined--,--undefined--
0.563160,4,311.583,40.255,2350.154,51.614,3014.201,210.504,3574.810,115.200,--undefined--,--undefined--
0.569410,4,311.742,48.187,2331.856,24.906,3064.471,251.501,3625.795,118.419,--undefined--,--undefined--
0.575660,4,312.330,64.271,2324.844,19.991,3052.026,275.065,3653.731,103.735,--undefined--,--undefined--
0.581910,4,314.116,74.736,2345.579,23.242,3131.999,252.411,3605.739,177.460,--undefined--,--undefined--
0.588160,4,324.403,86.608,2335.723,24.253,3124.216,247.121,3597.456,157.076,--undefined--,--undefined--
0.594410,4,331.467,85.953,2339.444,34.123,3123.887,158.094,3627.092,102.676,--undefined--,--undefined--
0.600660,4,324.548,87.201,2332.345,20.990,3171.994,205.669,3630.401,175.149,--undefined--,--undefined--
0.606910,4,319.811,78.667,2342.595,16.859,3152.264,280.681,3642.751,140.103,--undefined--,--undefined--
0.613160,4,312.457,61.854,2338.521,28.505,3175.265,326.255,3660.101,131.725,--undefined--,--undefined--
0.619410,4,311.512,44.117,2322.534,44.280,3110.789,338.805,3672.889,121.371,--undefined--,--undefined--
0.625660,4,314.926,40.914,2310.324,40.282,3111.009,224.337,3683.533,101.504,--undefined--,--undefined--
0.631910,4,313.218,35.532,2327.115,63.796,3154.222,182.005,3681.613,88.624,--undefined--,--undefined--
0.638160,4,313.941,34.070,2327.914,26.909,3113.148,283.916,3666.222,104.339,--undefined--,--undefined--
0.644410,4,317.333,30.381,2320.170,22.178,2992.337,354.565,3662.626,96.783,--undefined--,--undefined--
0.650660,4,323.116,34.019,2327.369,15.294,3048.174,259.520,3663.858,145.743,--undefined--,--undefined--
0.656910,4,329.449,42.158,2329.293,11.381,3123.050,243.520,3690.122,117.770,--undefined--,--undefined--
0.663160,4,336.215,68.298,2320.641,11.768,3141.310,324.120,3703.715,109.809,--undefined--,--undefined--
0.669410,4,350.014,129.629,2329.930,22.389,2972.835,491.305,3697.058,121.870,--undefined--,--undefined--
0.675660,4,355.170,157.128,2338.841,30.077,2949.159,517.693,3720.222,107.848,--undefined--,--undefined--
0.681910,4,332.069,125.513,2321.394,28.635,3188.837,411.714,3724.711,88.683,--undefined--,--undefined--
0.688160,4,309.814,90.682,2292.903,25.888,3198.820,396.165,3692.931,107.465,--undefined--,--undefined--
0.694410,4,296.774,70.024,2287.312,21.758,3069.137,420.017,3715.509,116.074,--undefined--,--undefined--
0.700660,4,305.371,98.389,2272.277,17.340,2979.033,375.644,3710.139,122.318,--undefined--,--undefined--
0.706910,4,326.945,163.373,2266.782,11.547,3038.395,438.660,3742.024,89.147,--undefined--,--undefined--
0.713160,4,324.440,166.123,2269.371,11.885,3195.009,541.843,3739.977,58.890,--undefined--,--undefined--
0.719410,4,298.798,84.228,2280.910,16.992,3255.111,387.152,3755.806,85.601,--undefined--,--undefined--
0.725660,4,294.469,54.273,2288.667,20.040,3231.463,324.705,3830.160,93.734,--undefined--,--undefined--
0.731910,4,296.262,58.978,2283.454,19.943,3150.818,499.956,3885.014,78.020,--undefined--,--undefined--
0.738160,4,283.783,45.765,2273.359,75.267,2995.380,531.370,3907.893,55.357,--undefined--,--undefined--
0.744410,5,273.799,40.543,2206.653,145.921,2803.559,372.645,3901.355,106.506,4747.714,3940.914
0.750660,4,254.876,54.672,2206.646,164.866,2868.732,534.851,3870.987,144.648,--undefined--,--undefined--
0.756910,4,247.294,98.890,2264.007,171.997,3091.516,487.032,3893.808,151.292,--undefined--,--undefined--
0.763160,4,295.741,110.306,2278.776,75.366,3211.176,425.170,3946.525,254.716,--undefined--,--undefined--
0.769410,4,284.849,75.108,2288.330,66.112,3251.748,531.086,4081.808,681.579,--undefined--,--undefined--
0.775660,4,282.129,77.728,2271.666,43.692,3445.086,464.827,4083.440,964.127,--undefined--,--undefined--
0.781910,4,286.748,95.923,2265.572,30.836,3365.377,419.328,4208.221,562.235,--undefined--,--undefined--
0.788160,4,277.840,74.971,2272.870,59.405,3266.592,449.828,4418.665,635.445,--undefined--,--undefined--
0.794410,4,284.581,76.434,2251.637,272.771,3294.907,614.276,4634.670,777.074,--undefined--,--undefined--
0.800660,4,279.074,117.778,2352.694,791.790,3071.150,919.242,4408.697,1275.627,--undefined--,--undefined--
0.806910,4,252.631,53.759,2310.916,637.161,3346.803,961.283,4138.989,1051.742,--undefined--,--undefined--
0.813160,4,249.090,58.040,2098.338,437.923,3616.760,819.086,4395.120,373.196,--undefined--,--undefined--
0.819410,5,390.394,204.247,1872.640,332.235,2663.110,793.798,4126.342,237.278,4508.364,140.730
0.825660,5,473.948,145.939,1859.877,186.159,2723.495,488.064,4156.759,171.659,4526.567,113.507
0.831910,5,448.613,151.992,1842.269,128.549,2749.716,253.132,4161.893,153.581,4560.554,99.379
0.838160,5,406.981,316.791,1824.851,177.379,2752.185,182.674,4079.980,162.965,4589.931,61.818
0.844410,5,287.718,280.194,1814.528,158.054,2690.913,224.290,4051.867,218.992,4554.367,132.988
0.850660,5,247.834,177.072,1856.000,192.550,2693.413,498.550,4119.637,457.697,4430.358,236.047
0.856910,5,238.433,72.983,1807.244,256.296,2697.139,800.700,4158.011,505.582,4432.811,282.765
0.863160,5,263.698,60.657,1786.980,316.068,2657.141,681.019,4139.345,631.693,4446.879,246.991
0.869410,5,271.132,62.005,1777.790,137.106,2708.156,510.925,4235.307,998.605,4429.696,271.594
0.875660,5,254.796,86.729,1769.532,199.652,2698.095,497.035,4278.690,224.839,4731.102,1736.356
0.881910,5,268.561,117.527,1828.125,380.451,2759.019,770.786,4301.501,195.910,4608.227,2696.134
0.888160,5,302.822,73.103,1795.521,186.578,2827.680,579.852,4323.540,371.608,4745.979,2529.465
0.894410,5,296.973,50.560,1780.703,138.653,2750.280,409.709,4074.618,457.100,5210.672,1780.232
0.900660,4,291.510,106.398,1790.233,201.417,2864.276,642.591,3968.122,629.828,--undefined--,--undefined--
0.906910,5,278.866,373.831,1666.591,110.648,2969.636,1250.898,3620.042,643.939,4751.270,863.517
0.913160,5,104.959,751.831,1643.085,43.344,2684.885,1248.016,3594.517,569.034,4674.696,784.274
0.919410,5,128.703,631.723,1639.926,36.803,2664.150,1063.777,3674.744,564.359,4666.275,581.784
0.925660,5,167.044,603.507,1652.160,70.201,2876.678,713.256,4212.256,537.290,5084.533,2562.951
0.931910,3,1626.281,95.853,2891.895,737.116,4279.384,443.946,--undefined--,--undefined--,--undefined--,--undefined--
0.938160,5,264.616,1042.391,1579.919,99.410,2733.848,737.048,3699.530,836.771,4660.088,493.401
0.944410,4,1593.483,159.198,2732.033,1056.654,3643.066,678.345,4757.800,562.590,--undefined--,--undefined--
0.950660,4,1564.756,98.704,2759.164,869.442,3869.639,972.784,4733.684,1270.543,--undefined--,--undefined--
0.956910,3,1534.553,94.910,2923.845,711.580,3917.397,699.887,--undefined--,--undefined--,--undefined--,--undefined--
0.963160,5,241.712,1193.641,1537.837,202.534,2857.358,555.557,3881.913,489.532,5101.240,922.975
0.969410,4,1512.040,344.944,2305.798,1083.267,3621.369,873.339,4688.412,1254.656,--undefined--,--undefined--
0.975660,4,1443.202,275.245,2256.183,803.876,3441.392,556.467,4456.781,607.091,--undefined--,--undefined--
0.981910,4,1433.110,299.864,2406.563,1080.563,3331.192,660.365,4399.978,592.793,--undefined--,--undefined--
0.988160,4,1454.571,456.196,2751.287,2970.101,2828.932,640.022,4333.218,547.232,--undefined--,--undefined--
0.994410,3,1455.828,903.634,2774.124,469.138,4254.271,655.552,--undefined--,--undefined--,--undefined--,--undefined--
